date,rating,text,thumbs_up,city,primary_theme,review_id
2025-04-06,4,Best ride quality of any rideshare service. The car drives like a luxury chauffeur.,12,Phoenix,ride_smoothness,33
2025-04-07,1,"Love the ride but hate the wait. 20 minutes is not acceptable when I'm late. Please expand to more cities! I want this everywhere, not just SF and Phoenix.",1,Phoenix,wait_times,34
2025-04-07,2,Can never get a car when I actually need one. Wait times need serious improvement. Would rate 5 stars if not for the consistently long wait times in my neighborhood.,0,Phoenix,wait_times,35
2025-04-07,1,"Wait times have gotten worse recently. Used to be 5 min, now it's 15+.",0,San Francisco,wait_times,36
2025-04-07,3,"The car brakes too hard sometimes, especially at yellow lights. Jerky stops.",4,Los Angeles,ride_smoothness,37
2025-04-07,5,Really polished app. The ride tracking and ETA features work perfectly.,15,Phoenix,app_experience,38
2025-04-07,5,The ride quality alone makes this worth it. So much smoother than human drivers.,13,Phoenix,ride_smoothness,39
2025-04-07,1,My biggest frustration is the limited coverage area. Can't get to the airport yet. Pricing is fair and often cheaper than Uber during surge times.,1,Phoenix,coverage_area,40
2025-04-08,5,The car handled a sudden obstacle in the road perfectly. Very impressive safety response. Got nervous when the car hesitated at a 4-way stop for way too long.,17,San Francisco,safety_trust,41
2025-04-08,5,Life-changing service for someone who can't drive. Thank you Waymo! Not fully confident yet. The car sometimes makes decisions that feel unpredictable.,0,Los Angeles,general_experience,42
2025-04-08,5,The car is incredibly cautious at crosswalks and around pedestrians. Trust it completely.,35,Phoenix,safety_trust,43
2025-04-08,4,Great value for the ride quality you get. Worth every penny.,2,San Francisco,pricing,44
2025-04-09,2,Can't use it for my daily commute because my office is outside the service area.,23,Phoenix,coverage_area,45
2025-04-09,4,Trust in the technology has grown with every ride. Now I prefer it over human drivers.,0,San Francisco,safety_trust,46
2025-04-09,3,Really polished app. The ride tracking and ETA features work perfectly.,8,Los Angeles,app_experience,47
2025-04-09,5,"The ride was incredibly smooth. Way better than most human drivers I've had in rideshare. The car brakes too hard sometimes, especially at yellow lights. Jerky stops.",40,Phoenix,ride_smoothness,48
2025-04-09,5,The car is incredibly cautious at crosswalks and around pedestrians. Trust it completely.,4,San Francisco,safety_trust,49
2025-04-09,1,Wish they would expand to the suburbs. I can only use it in the city center.,4,San Francisco,coverage_area,50
2025-04-09,4,The driving quality is outstanding. Handles highway merges and city traffic beautifully.,3,Los Angeles,ride_smoothness,51
2025-04-10,5,Great value for the ride quality you get. Worth every penny.,4,San Francisco,pricing,52
2025-04-10,2,Had trouble with the app not recognizing my pickup location in a parking garage.,2,Phoenix,app_experience,53
2025-04-10,4,The new Atlanta service area is great. Covers most of the places I need to go.,39,Los Angeles,coverage_area,54
2025-04-11,5,Trust in the technology has grown with every ride. Now I prefer it over human drivers.,20,Los Angeles,safety_trust,55
2025-04-11,1,Would rate 5 stars if not for the consistently long wait times in my neighborhood.,8,San Francisco,wait_times,56
2025-04-11,5,"Great app design. Setting pickup and dropoff locations is intuitive. Simple, clean interface. Booking a ride takes literally 10 seconds.",4,Los Angeles,app_experience,57
2025-04-11,5,The consistency is what I love most. Every ride is the same great quality.,0,San Francisco,general_experience,58
2025-04-11,5,The defensive driving is excellent. The car gives cyclists extra space automatically.,17,San Francisco,safety_trust,59
2025-04-12,4,Best ride quality of any rideshare service. The car drives like a luxury chauffeur.,0,San Francisco,ride_smoothness,60
2025-04-12,3,"The car brakes too hard sometimes, especially at yellow lights. Jerky stops. Smoother than any Uber ride I've ever taken. The car handles turns and stops so gently.",2,Los Angeles,ride_smoothness,61
2025-04-12,5,"After 100+ rides, I can say this is the most reliable transportation option I have. Love how the car takes turns - no jerky movements, just smooth sailing.",4,San Francisco,general_experience,62
2025-04-12,3,The app experience is premium. Love the music and climate controls in the app. Not fully confident yet. The car sometimes makes decisions that feel unpredictable.,8,San Francisco,app_experience,63
2025-04-12,5,"Simple, clean interface. Booking a ride takes literally 10 seconds.",4,San Francisco,app_experience,64
2025-04-12,3,Amazing technology. I tell everyone about Waymo. It's truly impressive.,50,San Francisco,general_experience,65
2025-04-12,2,Would rate 5 stars if not for the consistently long wait times in my neighborhood.,1,San Francisco,wait_times,66
2025-04-12,2,Got nervous when the car hesitated at a 4-way stop for way too long. Had trouble with the app not recognizing my pickup location in a parking garage.,6,Phoenix,safety_trust,67
2025-04-13,1,Had a bad experience where the car took a very weird route. Added 10 min to my trip. The driving quality is outstanding. Handles highway merges and city traffic beautifully.,33,Phoenix,general_experience,68
2025-04-13,5,The defensive driving is excellent. The car gives cyclists extra space automatically.,5,Phoenix,safety_trust,69
2025-04-13,1,UI is confusing for first-time users. My parents couldn't figure out how to book.,5,San Francisco,app_experience,70
2025-04-14,3,Service area is still too small. Half my regular destinations aren't covered.,21,San Francisco,coverage_area,71
2025-04-14,5,Life-changing service for someone who can't drive. Thank you Waymo!,31,Phoenix,general_experience,72
2025-04-14,2,The app drains my battery like crazy. Needs optimization badly.,0,San Francisco,app_experience,73
2025-04-14,1,The fare estimate was $15 but I was charged $22. Pricing transparency needs work. The app drains my battery like crazy. Needs optimization badly.,14,Phoenix,pricing,74
2025-04-14,5,Great value for the ride quality you get. Worth every penny.,34,Phoenix,pricing,75
2025-04-14,5,The app experience is premium. Love the music and climate controls in the app. The biggest issue is reliability of pickup times. I've been burned too many times.,21,San Francisco,app_experience,76
2025-04-14,1,The car seemed to struggle with speed bumps and rough road surfaces.,52,Los Angeles,ride_smoothness,77
2025-04-14,5,The driving quality is outstanding. Handles highway merges and city traffic beautifully.,0,San Francisco,ride_smoothness,78
2025-04-15,5,Coverage in SF is excellent now. Can go almost anywhere in the city.,2,San Francisco,coverage_area,79
2025-04-15,2,The coverage map is confusing and the boundaries keep changing.,0,Los Angeles,coverage_area,80
2025-04-15,5,Quick pickup even during evening rush. Really improving on availability.,1,Phoenix,wait_times,81
2025-04-15,5,The ride quality alone makes this worth it. So much smoother than human drivers. The biggest issue is reliability of pickup times. I've been burned too many times.,2,Phoenix,ride_smoothness,82
2025-04-15,5,Best tech product I've used this year. Waymo is genuinely impressive. The driving quality is outstanding. Handles highway merges and city traffic beautifully.,2,Phoenix,general_experience,83
2025-04-15,1,Got nervous when the car hesitated at a 4-way stop for way too long.,8,Los Angeles,safety_trust,84
2025-04-15,3,Can't use it for my daily commute because my office is outside the service area.,20,Phoenix,coverage_area,85
2025-04-15,5,"No tipping awkwardness and the pricing is transparent. Win-win. 5 stars! Every ride has been great. Clean cars, smooth rides, futuristic experience.",9,San Francisco,pricing,86
2025-04-15,5,Pricing is fair and often cheaper than Uber during surge times.,7,Phoenix,pricing,87
2025-04-16,5,Pricing is fair and often cheaper than Uber during surge times.,1,San Francisco,pricing,88
2025-04-16,4,The driving quality is outstanding. Handles highway merges and city traffic beautifully.,15,Phoenix,ride_smoothness,89
2025-04-16,4,Life-changing service for someone who can't drive. Thank you Waymo! The fare estimate was $15 but I was charged $22. Pricing transparency needs work.,1,San Francisco,general_experience,90
2025-04-16,4,The ride was incredibly smooth. Way better than most human drivers I've had in rideshare.,3,San Francisco,ride_smoothness,91
2025-04-16,5,Consistently smooth rides. The car navigates complex intersections with ease.,8,Phoenix,ride_smoothness,92
2025-04-16,5,Quick pickup even during evening rush. Really improving on availability.,19,Los Angeles,wait_times,93
2025-04-16,4,The car handled a sudden obstacle in the road perfectly. Very impressive safety response.,9,Phoenix,safety_trust,94
2025-04-17,5,"After 100+ rides, I can say this is the most reliable transportation option I have. Prices have gone up a lot recently. It used to be much more affordable.",3,San Francisco,general_experience,95
2025-04-17,3,Was nervous at first but after 50+ rides I trust the technology completely.,1,Phoenix,safety_trust,96
2025-04-17,1,"Please expand to more cities! I want this everywhere, not just SF and Phoenix. Not fully confident yet. The car sometimes makes decisions that feel unpredictable.",10,San Francisco,coverage_area,97
2025-04-17,2,Love the ride but hate the wait. 20 minutes is not acceptable when I'm late. Wish they would expand to the suburbs. I can only use it in the city center.,8,Los Angeles,wait_times,98
2025-04-17,5,Trust in the technology has grown with every ride. Now I prefer it over human drivers.,4,Los Angeles,safety_trust,99
2025-04-17,1,Had to cancel after waiting 18 minutes. No cars available apparently.,0,Los Angeles,wait_times,100
2025-04-18,3,Life-changing service for someone who can't drive. Thank you Waymo!,11,Los Angeles,general_experience,101
2025-04-18,2,The car stopped in the middle of the road for no reason. Scary experience.,9,Los Angeles,safety_trust,102
2025-04-18,4,The estimated arrival time was accurate. Car showed up right on time.,3,San Francisco,wait_times,103
2025-04-18,3,"Love how the car takes turns - no jerky movements, just smooth sailing. The coverage map is confusing and the boundaries keep changing.",2,Los Angeles,ride_smoothness,104
2025-04-18,1,The novelty wore off. Now I just notice the long waits and limited coverage.,18,Los Angeles,general_experience,105
2025-04-19,4,So glad they expanded to my neighborhood! Coverage keeps getting better.,3,San Francisco,coverage_area,106
2025-04-19,4,Best rideshare experience available. The novelty never wears off.,17,Phoenix,general_experience,107
2025-04-19,5,Quick pickup even during evening rush. Really improving on availability. So glad they expanded to my neighborhood! Coverage keeps getting better.,28,Phoenix,wait_times,108
2025-04-19,4,Great app design. Setting pickup and dropoff locations is intuitive.,19,Phoenix,app_experience,109
2025-04-19,5,"Safer than human drivers honestly. No distracted driving, no phone use, always alert.",12,Phoenix,safety_trust,110
2025-04-20,5,"Wait time has gotten so much better in the last few months. Usually under 5 min now. Getting expensive. For the wait times I deal with, the price doesn't feel worth it.",9,Phoenix,wait_times,111
2025-04-20,3,"The car brakes too hard sometimes, especially at yellow lights. Jerky stops.",4,Los Angeles,ride_smoothness,112
2025-04-20,3,App froze mid-ride and I couldn't see my route or ETA. Stressful.,0,Phoenix,app_experience,113
2025-04-21,5,The new Atlanta service area is great. Covers most of the places I need to go. Took my first ride today and was amazed at how safe it felt. Converted skeptic.,19,Phoenix,coverage_area,114
2025-04-21,4,Quick pickup even during evening rush. Really improving on availability.,3,San Francisco,wait_times,115
2025-04-21,5,Best rideshare experience available. The novelty never wears off. Happy to see coverage in Austin now. The expansion is exciting.,9,Los Angeles,general_experience,116
2025-04-21,3,Service area is still too small. Half my regular destinations aren't covered.,8,San Francisco,coverage_area,117
2025-04-21,5,Cheaper than I expected for an autonomous car ride. Very competitive pricing.,1,San Francisco,pricing,118
2025-04-21,1,The car got confused by a delivery truck double-parked. Just sat there for 2 minutes.,4,Phoenix,safety_trust,119
2025-04-21,1,Had to cancel after waiting 18 minutes. No cars available apparently.,8,San Francisco,wait_times,120
2025-04-21,5,"Consistently smooth rides. The car navigates complex intersections with ease. Love how the car takes turns - no jerky movements, just smooth sailing.",13,Los Angeles,ride_smoothness,121
2025-04-21,4,Best ride quality of any rideshare service. The car drives like a luxury chauffeur.,6,San Francisco,ride_smoothness,122
2025-04-21,5,The estimated arrival time was accurate. Car showed up right on time. Great app design. Setting pickup and dropoff locations is intuitive.,8,Los Angeles,wait_times,123
2025-04-21,5,The car is incredibly cautious at crosswalks and around pedestrians. Trust it completely.,1,Phoenix,safety_trust,124
2025-04-21,1,Payment processing failed twice. Had to reinstall the app to fix it.,17,Phoenix,app_experience,125
2025-04-21,5,Car arrived in under 3 minutes! Faster than any Uber I've ordered.,0,Phoenix,wait_times,126
2025-04-21,5,Pleasantly surprised by the quick pickup. Only waited 2 minutes.,15,San Francisco,wait_times,127
2025-04-22,1,Ride was choppy in construction zones. The car kept stopping and starting.,11,Phoenix,ride_smoothness,128
2025-04-22,3,Love the ride but hate the wait. 20 minutes is not acceptable when I'm late. My elderly mother uses it and feels safe. That says a lot about the trust factor.,6,Phoenix,wait_times,129
2025-04-22,5,Pricing is fair and often cheaper than Uber during surge times.,4,San Francisco,pricing,130
2025-04-22,5,Life-changing service for someone who can't drive. Thank you Waymo!,8,San Francisco,general_experience,131
2025-04-22,2,Had a close call with a cyclist. The car saw them late and braked hard.,28,San Francisco,safety_trust,132
2025-04-22,2,"Wait times have gotten worse recently. Used to be 5 min, now it's 15+.",3,Los Angeles,wait_times,133
2025-04-22,5,"Safer than human drivers honestly. No distracted driving, no phone use, always alert.",30,Los Angeles,safety_trust,134
2025-04-22,1,Had to cancel after waiting 18 minutes. No cars available apparently.,19,Phoenix,wait_times,135
2025-04-22,1,Love the ride but hate the wait. 20 minutes is not acceptable when I'm late.,14,Phoenix,wait_times,136
2025-04-23,5,The ride quality alone makes this worth it. So much smoother than human drivers. Had a close call with a cyclist. The car saw them late and braked hard.,26,San Francisco,ride_smoothness,137
2025-04-23,2,The biggest issue is reliability of pickup times. I've been burned too many times.,3,Los Angeles,wait_times,138
2025-04-23,4,"After 100+ rides, I can say this is the most reliable transportation option I have. Amazing technology. I tell everyone about Waymo. It's truly impressive.",23,Los Angeles,general_experience,139
2025-04-24,3,"The 360 sensors catch things a human driver would miss. Feels very secure. Getting expensive. For the wait times I deal with, the price doesn't feel worth it.",1,San Francisco,safety_trust,140
2025-04-24,2,The wait times are ridiculous in my area. 15-20 minutes every single time. Coverage in SF is excellent now. Can go almost anywhere in the city.,3,Phoenix,wait_times,141
2025-04-24,4,Coverage in SF is excellent now. Can go almost anywhere in the city. The consistency is what I love most. Every ride is the same great quality.,2,Phoenix,coverage_area,142
2025-04-24,3,The car seemed to struggle with speed bumps and rough road surfaces.,21,Phoenix,ride_smoothness,143
2025-04-24,5,Happy to see coverage in Austin now. The expansion is exciting.,2,Los Angeles,coverage_area,144
2025-04-25,5,No tipping awkwardness and the pricing is transparent. Win-win.,5,Phoenix,pricing,145
2025-04-25,1,The GPS location for pickup is often off by half a block. Confusing.,10,Los Angeles,app_experience,146
2025-04-25,5,Pleasantly surprised by the quick pickup. Only waited 2 minutes. The app experience is premium. Love the music and climate controls in the app.,3,Los Angeles,wait_times,147
2025-04-25,5,Wait time has gotten so much better in the last few months. Usually under 5 min now. No tipping awkwardness and the pricing is transparent. Win-win.,25,San Francisco,wait_times,148
2025-04-25,5,I feel genuinely safer in a Waymo than with some of the rideshare drivers I've had. App crashes frequently when trying to set a destination. Really annoying.,2,San Francisco,safety_trust,149
2025-04-26,5,"5 stars! Every ride has been great. Clean cars, smooth rides, futuristic experience.",5,San Francisco,general_experience,150
2025-04-26,3,Great app design. Setting pickup and dropoff locations is intuitive.,10,San Francisco,app_experience,151
2025-04-26,1,The novelty wore off. Now I just notice the long waits and limited coverage.,2,Los Angeles,general_experience,152
2025-04-26,4,Best ride quality of any rideshare service. The car drives like a luxury chauffeur. The estimated arrival time was accurate. Car showed up right on time.,3,Phoenix,ride_smoothness,153
2025-04-26,3,The GPS location for pickup is often off by half a block. Confusing. Best tech product I've used this year. Waymo is genuinely impressive.,7,Los Angeles,app_experience,154
2025-04-26,5,Quick pickup even during evening rush. Really improving on availability. Good concept but not ready for prime time yet. Too many quirks.,17,San Francisco,wait_times,155
2025-04-26,5,"Love how the car takes turns - no jerky movements, just smooth sailing.",17,Los Angeles,ride_smoothness,156
2025-04-27,2,Prices have gone up a lot recently. It used to be much more affordable.,14,Phoenix,pricing,157
2025-04-27,3,Not fully confident yet. The car sometimes makes decisions that feel unpredictable.,1,Phoenix,safety_trust,158
2025-04-27,2,Service area is still too small. Half my regular destinations aren't covered.,24,Phoenix,coverage_area,159
2025-04-27,1,The car accelerated really aggressively merging onto the freeway. Uncomfortable.,4,Phoenix,ride_smoothness,160
2025-04-27,5,Quick pickup even during evening rush. Really improving on availability. Good concept but not ready for prime time yet. Too many quirks.,13,Los Angeles,wait_times,161
2025-04-27,4,Was nervous at first but after 50+ rides I trust the technology completely.,1,Phoenix,safety_trust,162
2025-04-27,3,The biggest issue is reliability of pickup times. I've been burned too many times.,0,San Francisco,wait_times,163
2025-04-28,5,No tipping awkwardness and the pricing is transparent. Win-win.,31,San Francisco,pricing,164
2025-04-28,4,Car arrived in under 3 minutes! Faster than any Uber I've ordered. The wait times are ridiculous in my area. 15-20 minutes every single time.,8,San Francisco,wait_times,165
2025-04-28,4,"Safer than human drivers honestly. No distracted driving, no phone use, always alert.",33,San Francisco,safety_trust,166
2025-04-28,5,Cheaper than I expected for an autonomous car ride. Very competitive pricing.,0,San Francisco,pricing,167
2025-04-28,1,Had trouble with the app not recognizing my pickup location in a parking garage. Had a bad experience where the car took a very weird route. Added 10 min to my trip.,42,Phoenix,app_experience,168
2025-04-28,2,The wait times are ridiculous in my area. 15-20 minutes every single time.,27,Phoenix,wait_times,169
2025-04-28,4,Quick pickup even during evening rush. Really improving on availability.,6,San Francisco,wait_times,170
2025-04-28,1,Can't use it for my daily commute because my office is outside the service area.,14,Phoenix,coverage_area,171
2025-04-28,5,The estimated arrival time was accurate. Car showed up right on time.,4,Phoenix,wait_times,172
2025-05-01,4,The ride quality alone makes this worth it. So much smoother than human drivers.,6,San Francisco,ride_smoothness,173
2025-05-01,1,Would rate 5 stars if not for the consistently long wait times in my neighborhood.,7,Phoenix,wait_times,174
2025-05-01,2,Can't use it for my daily commute because my office is outside the service area. Love the ride but hate the wait. 20 minutes is not acceptable when I'm late.,0,San Francisco,coverage_area,175
2025-05-01,5,Took my first ride today and was amazed at how safe it felt. Converted skeptic.,0,Los Angeles,safety_trust,176
2025-05-02,3,So glad they expanded to my neighborhood! Coverage keeps getting better.,8,San Francisco,coverage_area,177
2025-05-02,5,The estimated arrival time was accurate. Car showed up right on time.,0,Los Angeles,wait_times,178
2025-05-03,5,"Simple, clean interface. Booking a ride takes literally 10 seconds. The defensive driving is excellent. The car gives cyclists extra space automatically.",33,Phoenix,app_experience,179
2025-05-03,5,"The autonomous driving is remarkably smooth. Braking, acceleration, lane changes - all very natural. The app drains my battery like crazy. Needs optimization badly.",0,San Francisco,ride_smoothness,180
2025-05-03,5,Pleasantly surprised by the quick pickup. Only waited 2 minutes.,31,Phoenix,wait_times,181
2025-05-03,5,Took my first ride today and was amazed at how safe it felt. Converted skeptic.,2,San Francisco,safety_trust,182
2025-05-03,5,Was nervous at first but after 50+ rides I trust the technology completely.,1,San Francisco,safety_trust,183
2025-05-04,3,The coverage map is confusing and the boundaries keep changing.,9,Phoenix,coverage_area,184
2025-05-04,5,The car is incredibly cautious at crosswalks and around pedestrians. Trust it completely.,0,Los Angeles,safety_trust,185
2025-05-04,5,Best ride quality of any rideshare service. The car drives like a luxury chauffeur. Would rate 5 stars if not for the consistently long wait times in my neighborhood.,8,Los Angeles,ride_smoothness,186
2025-05-04,5,The app experience is premium. Love the music and climate controls in the app.,11,Phoenix,app_experience,187
2025-05-04,5,Really impressed by how smooth the driving is. My coffee didn't spill once!,34,San Francisco,ride_smoothness,188
2025-05-04,2,Service area is still too small. Half my regular destinations aren't covered.,7,Los Angeles,coverage_area,189
2025-05-04,5,The new Atlanta service area is great. Covers most of the places I need to go.,21,San Francisco,coverage_area,190
2025-05-04,2,The car took me to the wrong entrance of a mall. Minor but annoying.,7,San Francisco,general_experience,191
2025-05-05,5,Silky smooth ride every time. The car is so gentle with acceleration and braking.,5,Phoenix,ride_smoothness,192
2025-05-05,1,Lots of unnecessary lane changes that made the ride feel less smooth than expected. Coverage in SF is excellent now. Can go almost anywhere in the city.,24,Los Angeles,ride_smoothness,193
2025-05-05,5,Wait time has gotten so much better in the last few months. Usually under 5 min now.,7,Phoenix,wait_times,194
2025-05-05,5,Trust in the technology has grown with every ride. Now I prefer it over human drivers.,14,Phoenix,safety_trust,195
2025-05-06,2,"Please expand to more cities! I want this everywhere, not just SF and Phoenix.",7,Phoenix,coverage_area,196
2025-05-06,4,Trust in the technology has grown with every ride. Now I prefer it over human drivers.,21,Phoenix,safety_trust,197
2025-05-06,4,Great value for the ride quality you get. Worth every penny.,6,Los Angeles,pricing,198
2025-05-06,1,Had to cancel after waiting 18 minutes. No cars available apparently.,11,Los Angeles,wait_times,199
2025-05-06,2,Would rate 5 stars if not for the consistently long wait times in my neighborhood. The car stopped in the middle of the road for no reason. Scary experience.,15,Los Angeles,wait_times,200
2025-05-06,5,Cheaper than I expected for an autonomous car ride. Very competitive pricing.,15,Los Angeles,pricing,201
2025-05-06,5,"5 stars! Every ride has been great. Clean cars, smooth rides, futuristic experience.",3,San Francisco,general_experience,202
2025-05-06,3,Best tech product I've used this year. Waymo is genuinely impressive. Prices have gone up a lot recently. It used to be much more affordable.,3,Phoenix,general_experience,203
2025-05-07,3,Silky smooth ride every time. The car is so gentle with acceleration and braking. The new Atlanta service area is great. Covers most of the places I need to go.,4,Phoenix,ride_smoothness,204
2025-05-08,1,Wish they would expand to the suburbs. I can only use it in the city center.,50,San Francisco,coverage_area,205
2025-05-08,1,Waited 25 minutes for a pickup. This is my biggest complaint with the service.,2,Phoenix,wait_times,206
2025-05-08,4,My elderly mother uses it and feels safe. That says a lot about the trust factor. The fare estimate was $15 but I was charged $22. Pricing transparency needs work.,1,Phoenix,safety_trust,207
2025-05-08,3,The wait times are ridiculous in my area. 15-20 minutes every single time.,5,San Francisco,wait_times,208
2025-05-08,5,"The future is here and it's amazing. Clean car, no awkward conversation, perfect ride.",3,Los Angeles,general_experience,209
2025-05-08,3,Estimated 8 minute wait turned into 22 minutes. Very frustrating.,1,Phoenix,wait_times,210
2025-05-08,1,My biggest frustration is the limited coverage area. Can't get to the airport yet.,3,Phoenix,coverage_area,211
2025-05-08,2,The wait times are ridiculous in my area. 15-20 minutes every single time.,10,Phoenix,wait_times,212
2025-05-09,4,The new Atlanta service area is great. Covers most of the places I need to go.,0,San Francisco,coverage_area,213
2025-05-09,1,Can never get a car when I actually need one. Wait times need serious improvement. Lots of unnecessary lane changes that made the ride feel less smooth than expected.,37,Phoenix,wait_times,214
2025-05-09,5,Really impressed by how smooth the driving is. My coffee didn't spill once! The car is incredibly cautious at crosswalks and around pedestrians. Trust it completely.,5,Phoenix,ride_smoothness,215
2025-05-10,5,The estimated arrival time was accurate. Car showed up right on time. Waited 25 minutes for a pickup. This is my biggest complaint with the service.,19,San Francisco,wait_times,216
2025-05-10,4,Quick pickup even during evening rush. Really improving on availability.,4,Phoenix,wait_times,217
2025-05-10,3,"The autonomous driving is remarkably smooth. Braking, acceleration, lane changes - all very natural. The app experience is premium. Love the music and climate controls in the app.",17,Phoenix,ride_smoothness,218
2025-05-10,4,Best ride quality of any rideshare service. The car drives like a luxury chauffeur.,13,San Francisco,ride_smoothness,219
2025-05-10,5,Converted my whole family to Waymo. We barely use regular rideshare anymore.,4,Phoenix,general_experience,220
2025-05-10,3,Ride was choppy in construction zones. The car kept stopping and starting. Can't use it for my daily commute because my office is outside the service area.,14,San Francisco,ride_smoothness,221
2025-05-10,1,The coverage map is confusing and the boundaries keep changing.,0,San Francisco,coverage_area,222
2025-05-10,2,"Getting expensive. For the wait times I deal with, the price doesn't feel worth it. Quick pickup even during evening rush. Really improving on availability.",28,Phoenix,pricing,223
2025-05-10,5,"Simple, clean interface. Booking a ride takes literally 10 seconds.",0,San Francisco,app_experience,224
2025-05-11,2,Can't use it for my daily commute because my office is outside the service area.,10,San Francisco,coverage_area,225
2025-05-11,3,Best tech product I've used this year. Waymo is genuinely impressive.,18,San Francisco,general_experience,226
2025-05-11,4,The driving quality is outstanding. Handles highway merges and city traffic beautifully. The fare estimate was $15 but I was charged $22. Pricing transparency needs work.,4,San Francisco,ride_smoothness,227
2025-05-11,4,Life-changing service for someone who can't drive. Thank you Waymo!,0,San Francisco,general_experience,228
2025-05-11,4,Best tech product I've used this year. Waymo is genuinely impressive.,4,San Francisco,general_experience,229
2025-05-11,3,The car accelerated really aggressively merging onto the freeway. Uncomfortable. Coverage in SF is excellent now. Can go almost anywhere in the city.,7,Los Angeles,ride_smoothness,230
2025-05-11,3,Lots of unnecessary lane changes that made the ride feel less smooth than expected. Wait time has gotten so much better in the last few months. Usually under 5 min now.,11,Los Angeles,ride_smoothness,231
2025-05-11,4,Really polished app. The ride tracking and ETA features work perfectly. Had a close call with a cyclist. The car saw them late and braked hard.,8,Phoenix,app_experience,232
2025-05-12,3,Can never get a car when I actually need one. Wait times need serious improvement. Great value for the ride quality you get. Worth every penny.,11,San Francisco,wait_times,233
2025-05-12,4,"No tipping awkwardness and the pricing is transparent. Win-win. Love how the car takes turns - no jerky movements, just smooth sailing.",0,Phoenix,pricing,234
